province_code,province,hypertension_by_doctor_diagnosis,hypertension_by_doctor_diagnosis_95%_CI_lower,hypertension_by_doctor_diagnosis_95%_CI_upper,weighted_n_diagnosis,hypertension_by_measurement,hypertension_by_measurement_95%_CI_lower,hypertension_by_measurement_95%_CI_upper,weighted_n
11,Aceh,7.9,7.4,8.4,12053,21.4,20.5,22.4,11173
12,Sumatera Utara,4.3,4.0,4.7,33884,23.9,22.9,24.9,32118
13,Sumatera Barat,7.1,6.7,7.6,13042,22.6,21.7,23.5,12348
14,Riau,6.8,6.2,7.3,14599,24.2,23.1,25.4,13634
15,Jambi,5.3,4.8,5.8,8242,22.3,21.1,23.6,7799
16,Sumatera Selatan,7.2,6.7,7.8,19474,25.0,23.9,26.1,18512
17,Bengkulu,6.9,6.3,7.5,4687,23.5,22.3,24.7,4487
18,Lampung,7.4,6.9,7.9,21021,28.3,27.2,29.4,19843
19,Kep. Bangka Belitung,8.8,8.2,9.6,3451,26.0,24.7,27.4,3269
21,Kepulauan Riau,7.3,6.4,8.4,4780,25.3,23.1,27.7,4609
31,DKI Jakarta,12.6,11.8,13.5,24981,29.5,28.0,31.0,23230
32,Jawa Barat,9.9,9.5,10.4,114619,32.6,31.8,33.4,107290
33,Jawa Tengah,6.9,6.6,7.2,88180,31.3,30.7,32.0,82117
34,DI Yogyakarta,12.3,11.3,13.3,8988,30.4,29.1,31.9,8566
35,Jawa Timur,8.0,7.7,8.4,98738,32.8,32.2,33.5,93307
36,Banten,9.5,8.8,10.2,27784,26.8,25.5,28.2,25982
51,Bali,7.7,7.1,8.4,10476,21.7,20.6,23.0,10229
52,Nusa Tenggara Barat,6.8,6.1,7.5,12186,24.5,23.2,25.8,11406
53,Nusa Tenggara Timur,6.3,5.9,6.7,11853,26.4,25.5,27.2,11069
61,Kalimantan Barat,7.6,7.1,8.2,12637,29.2,27.8,30.6,12126
62,Kalimantan Tengah,7.9,7.2,8.6,6286,38.7,37.2,40.3,5830
63,Kalimantan Selatan,8.2,7.7,8.7,9352,34.1,33.0,35.2,8733
64,Kalimantan Timur,11.1,10.3,12.0,8929,29.1,27.7,30.6,8500
65,Kalimantan Utara,7.2,6.3,8.2,1654,28.0,25.8,30.3,1589
71,Sulawesi Utara,12.1,11.4,12.8,6239,27.8,26.5,29.1,5767
72,Sulawesi Tengah,8.3,7.7,9.0,6851,28.8,27.7,29.9,6401
73,Sulawesi Selatan,6.7,6.2,7.1,21459,29.5,28.7,30.4,20058
74,Sulawesi Tenggara,5.3,4.8,5.7,5977,27.5,26.3,28.6,5585
76,Sulawesi Barat,6.5,5.7,7.4,3212,26.5,25.0,28.0,2952
82,Maluku,4.3,3.8,4.8,4299,25.6,24.2,27.1,4086
81,Maluku Utara,4.4,4.0,5.0,2938,20.8,19.6,22.1,2627
92,Papua Barat,5.9,5.0,7.0,1259,25.9,23.6,28.3,1124
96,Papua Barat Daya,5.8,5.0,6.8,1387,24.0,22.0,26.1,1253
91,Papua,7.0,5.9,8.3,2114,24.5,22.4,26.6,1861
93,Papua Selatan,6.2,4.9,7.8,987,27.5,25.0,30.2,906
94,Papua Tengah,2.9,2.2,3.9,3304,21.4,18.0,25.4,2899
95,Papua Pegunungan,2.2,1.6,2.9,3496,19.4,16.4,22.9,3061
